SendDate,Solar Power (kW),Solar energy Generation (kWh),consumptionValue (kW)
07/01/2024 15:23,145,0.96,0.39
07/01/2024 15:29,145,0.7,0.38
07/01/2024 15:36,144,0.93,0.38
07/01/2024 15:42,145,0.26,0.39
07/01/2024 15:49,144,1.0,0.44
07/01/2024 15:57,144,0.24,0.43
07/01/2024 16:03,145,0.28,0.37
07/01/2024 16:09,145,0.95,0.39
07/01/2024 16:14,145,0.71,0.4
07/01/2024 16:19,144,0.46,0.44
07/01/2024 16:24,145,0.43,0.44
07/01/2024 16:31,144,0.44,0.42
07/01/2024 16:36,144,0.46,0.44
07/01/2024 16:44,143,0.08,0.42
07/01/2024 16:51,143,0.33,0.37
07/01/2024 16:58,143,0.97,0.36
07/01/2024 17:07,143,0.81,0.38
07/01/2024 17:14,144,0.95,0.38
07/01/2024 17:20,145,0.18,0.39
07/01/2024 17:28,144,0.99,0.4
07/01/2024 17:36,145,0.95,0.43
07/01/2024 17:44,143,0.45,0.37
07/01/2024 17:50,143,0.42,0.41
07/01/2024 17:57,144,0.51,0.43
07/01/2024 18:05,144,0.4,0.37
07/01/2024 18:14,143,0.86,0.42
07/01/2024 18:23,144,0.35,0.42
07/01/2024 18:28,143,0.18,0.44
07/01/2024 18:34,145,0.9,0.4
07/01/2024 18:39,143,0.66,0.45
07/01/2024 18:44,143,0.42,0.35
07/01/2024 18:53,144,0.44,0.38
07/01/2024 19:01,144,0.13,0.38
07/01/2024 19:06,143,0.85,0.42
07/01/2024 19:11,145,0.07,0.41
07/01/2024 19:17,144,0.45,0.44
07/01/2024 19:25,144,0.36,0.42
07/01/2024 19:31,144,0.95,0.44
07/01/2024 19:40,145,0.26,0.41
07/01/2024 19:48,145,0.57,0.42
07/01/2024 19:53,144,0.16,0.37
07/01/2024 20:00,145,0.7,0.44
07/01/2024 20:09,144,0.51,0.37
07/01/2024 20:18,144,0.78,0.41
07/01/2024 20:26,144,0.88,0.37
07/01/2024 20:35,143,0.9,0.38
07/01/2024 20:40,144,0.14,0.39
07/01/2024 20:49,145,0.15,0.36
07/01/2024 20:55,143,0.86,0.43
07/01/2024 21:03,145,0.2,0.39
07/01/2024 21:10,145,0.83,0.42
07/01/2024 21:18,145,0.57,0.41
07/01/2024 21:24,144,0.58,0.38
07/01/2024 21:31,144,0.5,0.36
07/01/2024 21:39,143,0.57,0.37
07/01/2024 21:46,144,0.56,0.44
07/01/2024 21:53,145,0.27,0.41
07/01/2024 22:01,144,0.69,0.43
07/01/2024 22:07,144,0.05,0.35
07/01/2024 22:14,144,0.54,0.36
07/01/2024 22:20,143,0.59,0.39
07/01/2024 22:29,145,0.87,0.38
07/01/2024 22:36,143,0.31,0.42
07/01/2024 22:43,143,0.95,0.4
07/01/2024 22:51,144,0.77,0.42
07/01/2024 22:57,145,0.89,0.38
07/01/2024 23:05,143,0.69,0.43
07/01/2024 23:13,145,0.05,0.38
07/01/2024 23:22,144,0.42,0.36
07/01/2024 23:31,143,0.4,0.44
07/01/2024 23:36,143,0.88,0.38
07/01/2024 23:44,144,0.2,0.39
07/01/2024 23:53,145,0.0,0.44
07/02/2024 00:01,144,0.07,0.39
07/02/2024 00:06,145,0.87,0.44
07/02/2024 00:15,144,0.29,0.41
07/02/2024 00:21,144,0.01,0.36
07/02/2024 00:29,143,0.81,0.37
07/02/2024 00:38,143,0.77,0.4
07/02/2024 00:45,144,0.68,0.45
07/02/2024 00:52,143,0.43,0.35
07/02/2024 01:01,145,0.77,0.42
07/02/2024 01:10,144,0.68,0.37
07/02/2024 01:17,144,1.0,0.37
07/02/2024 01:25,143,0.97,0.45
07/02/2024 01:32,144,0.17,0.36
07/02/2024 01:38,144,0.76,0.42
07/02/2024 01:44,145,0.36,0.44
07/02/2024 01:50,145,0.97,0.39
07/02/2024 01:58,145,0.55,0.42
07/02/2024 02:07,144,0.92,0.41
07/02/2024 02:15,145,0.23,0.44
07/02/2024 02:24,144,0.82,0.44
07/02/2024 02:33,145,0.54,0.4
07/02/2024 02:38,145,0.55,0.41
07/02/2024 02:46,144,0.06,0.39
07/02/2024 02:54,145,0.39,0.4
07/02/2024 03:01,145,0.11,0.39
07/02/2024 03:10,143,0.91,0.36
07/02/2024 03:18,144,0.93,0.42
07/02/2024 03:26,145,0.91,0.35
07/02/2024 03:35,144,0.52,0.38
07/02/2024 03:43,144,0.71,0.39
07/02/2024 03:50,143,0.53,0.45
07/02/2024 03:57,143,0.71,0.36
07/02/2024 04:04,145,0.01,0.38
07/02/2024 04:09,143,0.0,0.41
07/02/2024 04:17,144,0.49,0.39
07/02/2024 04:25,145,0.21,0.44
07/02/2024 04:33,143,0.49,0.41
07/02/2024 04:42,144,0.42,0.37
07/02/2024 04:51,144,0.65,0.37
07/02/2024 04:59,145,0.25,0.44
07/02/2024 05:05,144,0.09,0.36
07/02/2024 05:10,144,0.31,0.4
07/02/2024 05:17,143,0.22,0.44
07/02/2024 05:22,144,0.95,0.39
07/02/2024 05:27,144,0.78,0.38
07/02/2024 05:36,144,0.03,0.4
07/02/2024 05:43,145,0.34,0.38
07/02/2024 05:50,145,0.22,0.39
07/02/2024 05:58,145,0.8,0.36
07/02/2024 06:05,144,0.36,0.37
07/02/2024 06:13,144,0.56,0.44
07/02/2024 06:19,143,0.22,0.42
07/02/2024 06:28,144,0.39,0.35
07/02/2024 06:33,143,0.81,0.44
07/02/2024 06:40,145,0.27,0.41
07/02/2024 06:46,144,0.3,0.39
07/02/2024 06:55,145,0.49,0.42
07/02/2024 07:01,143,0.75,0.44
07/02/2024 07:07,145,0.15,0.38
07/02/2024 07:12,145,0.39,0.36
07/02/2024 07:18,144,0.42,0.37
07/02/2024 07:26,145,0.18,0.4
07/02/2024 07:34,144,0.77,0.44
07/02/2024 07:41,145,0.72,0.38
07/02/2024 07:47,144,0.8,0.43
07/02/2024 07:53,144,0.06,0.4
07/02/2024 08:00,143,0.9,0.36
07/02/2024 08:07,143,0.49,0.41
07/02/2024 08:16,143,0.93,0.39
07/02/2024 08:22,144,0.15,0.41
07/02/2024 08:29,144,0.32,0.36
07/02/2024 08:35,144,1.0,0.4
07/02/2024 08:43,144,0.64,0.43
07/02/2024 08:51,145,0.29,0.43
07/02/2024 08:57,143,0.95,0.43
07/02/2024 09:06,144,0.19,0.37
07/02/2024 09:11,144,0.58,0.39
07/02/2024 09:17,145,0.4,0.37
07/02/2024 09:25,144,0.76,0.38
07/02/2024 09:34,145,0.75,0.38
07/02/2024 09:43,145,0.21,0.4
07/02/2024 09:50,145,0.18,0.36
07/02/2024 09:59,144,0.46,0.39
07/02/2024 10:08,143,0.26,0.41
07/02/2024 10:13,144,0.35,0.42
07/02/2024 10:21,145,0.66,0.39
07/02/2024 10:27,145,0.69,0.44
07/02/2024 10:35,145,0.96,0.36
07/02/2024 10:43,143,0.31,0.41
07/02/2024 10:50,145,0.63,0.35
07/02/2024 10:56,145,0.59,0.37
07/02/2024 11:03,143,0.19,0.42
07/02/2024 11:10,144,0.16,0.36
07/02/2024 11:18,143,0.72,0.44
07/02/2024 11:24,145,0.44,0.42
07/02/2024 11:32,145,0.62,0.4
07/02/2024 11:37,144,0.53,0.36
07/02/2024 11:44,144,0.76,0.36
07/02/2024 11:49,145,0.36,0.39
07/02/2024 11:58,143,0.27,0.35
07/02/2024 12:05,145,0.08,0.43
07/02/2024 12:12,145,0.16,0.36
07/02/2024 12:17,143,0.28,0.38
07/02/2024 12:26,144,0.98,0.38
07/02/2024 12:32,145,0.58,0.43
07/02/2024 12:41,145,0.75,0.35
07/02/2024 12:50,145,0.78,0.4
07/02/2024 12:57,143,0.73,0.37
07/02/2024 13:03,145,0.74,0.42
07/02/2024 13:08,143,0.22,0.38
07/02/2024 13:16,145,0.76,0.43
07/02/2024 13:23,145,0.14,0.44
07/02/2024 13:32,145,0.68,0.43
07/02/2024 13:39,143,0.03,0.4
07/02/2024 13:48,143,0.13,0.4
07/02/2024 13:53,144,0.14,0.4
07/02/2024 13:59,143,0.7,0.41
07/02/2024 14:08,143,0.07,0.39
07/02/2024 14:14,144,0.22,0.39
07/02/2024 14:22,145,0.24,0.4
07/02/2024 14:27,145,0.88,0.38
07/02/2024 14:36,145,0.81,0.39
07/02/2024 14:45,145,0.1,0.39
07/02/2024 14:52,143,0.31,0.41
07/02/2024 14:59,145,0.5,0.38
07/02/2024 15:04,143,0.29,0.36
07/02/2024 15:10,143,0.02,0.44
07/02/2024 15:16,143,0.65,0.36
07/02/2024 15:23,145,0.41,0.43
07/02/2024 15:28,143,0.72,0.36
07/02/2024 15:36,143,0.02,0.36
07/02/2024 15:45,144,0.1,0.41
07/02/2024 15:53,145,0.03,0.4
07/02/2024 16:02,144,0.91,0.4
07/02/2024 16:09,145,0.65,0.37
07/02/2024 16:17,144,0.62,0.38
07/02/2024 16:22,143,0.33,0.39
07/02/2024 16:30,145,0.47,0.39
07/02/2024 16:36,145,0.26,0.42
07/02/2024 16:45,143,0.13,0.4
07/02/2024 16:54,144,0.58,0.4
07/02/2024 16:59,144,0.13,0.44
07/02/2024 17:05,143,0.63,0.4
07/02/2024 17:13,143,0.97,0.42
07/02/2024 17:21,143,0.95,0.37
07/02/2024 17:29,144,0.58,0.37
07/02/2024 17:35,145,0.88,0.39
07/02/2024 17:42,144,0.93,0.43
07/02/2024 17:48,145,0.08,0.37
07/02/2024 17:56,145,0.93,0.38
07/02/2024 18:01,145,0.53,0.44
07/02/2024 18:07,145,0.83,0.42
07/02/2024 18:14,143,0.44,0.42
07/02/2024 18:20,143,0.72,0.38
07/02/2024 18:27,145,0.31,0.45
07/02/2024 18:36,145,0.83,0.38
07/02/2024 18:43,143,0.77,0.39
07/02/2024 18:50,143,0.31,0.45
07/02/2024 18:56,144,0.88,0.45
07/02/2024 19:01,144,0.23,0.41
07/02/2024 19:08,144,0.13,0.36
07/02/2024 19:15,143,0.93,0.43
07/02/2024 19:23,145,0.52,0.36
07/02/2024 19:29,143,0.65,0.36
07/02/2024 19:36,144,0.02,0.36
07/02/2024 19:45,144,0.73,0.45
07/02/2024 19:54,143,0.42,0.36
07/02/2024 19:59,143,0.7,0.35
07/02/2024 20:08,145,0.01,0.44
07/02/2024 20:17,145,0.61,0.42
07/02/2024 20:25,144,0.77,0.44
07/02/2024 20:32,144,0.54,0.36
07/02/2024 20:40,145,0.55,0.39
07/02/2024 20:45,145,0.69,0.42
07/02/2024 20:52,145,0.93,0.38
07/02/2024 21:01,145,0.02,0.42
07/02/2024 21:07,144,0.86,0.43
07/02/2024 21:15,144,0.17,0.44
07/02/2024 21:20,144,0.58,0.45
07/02/2024 21:27,145,0.26,0.44
07/02/2024 21:32,145,0.11,0.41
07/02/2024 21:37,143,0.2,0.44
07/02/2024 21:46,145,0.53,0.39
07/02/2024 21:54,143,0.36,0.38
07/02/2024 22:02,145,0.48,0.4
07/02/2024 22:08,143,0.66,0.4
07/02/2024 22:14,145,0.58,0.39
07/02/2024 22:20,144,0.38,0.39
07/02/2024 22:25,143,0.56,0.41
07/02/2024 22:34,145,0.68,0.41
07/02/2024 22:42,145,0.05,0.39
07/02/2024 22:47,144,0.93,0.37
07/02/2024 22:54,143,0.27,0.4
07/02/2024 23:01,144,0.78,0.41
07/02/2024 23:08,145,0.9,0.42
07/02/2024 23:17,145,0.25,0.4
07/02/2024 23:22,144,0.84,0.4
07/02/2024 23:27,144,0.93,0.37
07/02/2024 23:33,143,0.36,0.42
07/02/2024 23:38,143,0.47,0.38
07/02/2024 23:46,145,0.31,0.36
07/02/2024 23:52,143,0.78,0.42
07/03/2024 00:00,145,0.3,0.41
07/03/2024 00:05,144,0.42,0.4
07/03/2024 00:13,143,0.72,0.37
07/03/2024 00:19,143,0.71,0.43
07/03/2024 00:25,143,0.54,0.42
07/03/2024 00:31,144,0.52,0.42
07/03/2024 00:40,144,0.51,0.42
07/03/2024 00:46,145,0.62,0.39
07/03/2024 00:54,143,0.87,0.36
07/03/2024 01:02,143,0.14,0.39
07/03/2024 01:09,144,0.34,0.4
07/03/2024 01:18,143,0.14,0.41
07/03/2024 01:24,143,0.8,0.42
07/03/2024 01:31,144,0.21,0.4
07/03/2024 01:38,144,0.26,0.36
07/03/2024 01:44,143,0.31,0.42
07/03/2024 01:50,145,0.15,0.36
07/03/2024 01:57,144,0.36,0.36
07/03/2024 02:05,144,0.25,0.42
07/03/2024 02:10,144,0.79,0.4
07/03/2024 02:16,144,0.48,0.44
07/03/2024 02:23,143,0.14,0.39
07/03/2024 02:30,145,0.01,0.43
07/03/2024 02:35,145,0.67,0.44
07/03/2024 02:40,145,0.18,0.4
07/03/2024 02:48,144,0.46,0.42
07/03/2024 02:57,144,0.13,0.35
07/03/2024 03:02,143,0.28,0.39
07/03/2024 03:07,144,0.75,0.44
07/03/2024 03:15,144,0.56,0.36
07/03/2024 03:21,145,0.79,0.38
07/03/2024 03:26,145,0.05,0.39
07/03/2024 03:32,145,0.43,0.44
07/03/2024 03:38,144,0.15,0.36
07/03/2024 03:44,143,0.03,0.44
07/03/2024 03:49,145,0.6,0.37
07/03/2024 03:58,143,0.65,0.45
07/03/2024 04:07,145,0.51,0.36
07/03/2024 04:13,143,0.57,0.37
07/03/2024 04:18,144,0.92,0.44
07/03/2024 04:24,143,0.94,0.36
07/03/2024 04:29,143,0.6,0.44
07/03/2024 04:36,143,0.82,0.4
07/03/2024 04:43,145,0.11,0.41
07/03/2024 04:51,145,0.47,0.41
07/03/2024 04:58,144,0.53,0.38
07/03/2024 05:07,145,0.63,0.4
07/03/2024 05:13,144,0.38,0.41
07/03/2024 05:22,145,0.74,0.36
07/03/2024 05:29,145,0.4,0.36
07/03/2024 05:36,145,0.33,0.39
07/03/2024 05:45,144,0.14,0.39
07/03/2024 05:54,145,0.26,0.36
07/03/2024 06:00,145,0.46,0.43
07/03/2024 06:05,145,0.4,0.43
07/03/2024 06:13,143,0.95,0.41
07/03/2024 06:19,144,0.99,0.38
07/03/2024 06:26,145,0.45,0.4
07/03/2024 06:34,145,0.33,0.42
07/03/2024 06:39,144,0.11,0.36
07/03/2024 06:48,144,0.7,0.44
07/03/2024 06:53,143,0.75,0.44
07/03/2024 06:58,144,0.9,0.4
07/03/2024 07:07,144,0.2,0.36
07/03/2024 07:15,144,0.02,0.4
07/03/2024 07:21,143,0.07,0.36
07/03/2024 07:28,145,0.01,0.36
07/03/2024 07:37,145,0.2,0.37
07/03/2024 07:46,145,0.81,0.45
07/03/2024 07:51,144,0.86,0.39
07/03/2024 07:59,145,0.75,0.39
07/03/2024 08:05,143,0.67,0.44
07/03/2024 08:13,145,0.73,0.38
07/03/2024 08:19,143,0.33,0.45
07/03/2024 08:28,144,0.45,0.44
07/03/2024 08:33,143,0.48,0.38
07/03/2024 08:38,145,0.8,0.4
07/03/2024 08:47,145,0.21,0.38
07/03/2024 08:52,144,0.83,0.41
07/03/2024 08:59,144,0.07,0.42
07/03/2024 09:07,144,0.85,0.43
07/03/2024 09:13,144,0.29,0.38
07/03/2024 09:19,145,0.76,0.4
07/03/2024 09:27,144,0.52,0.37
07/03/2024 09:35,143,0.0,0.44
07/03/2024 09:43,143,0.26,0.42
07/03/2024 09:52,144,0.43,0.45
07/03/2024 09:59,143,0.64,0.42
07/03/2024 10:06,143,0.76,0.42
07/03/2024 10:15,144,0.36,0.4
07/03/2024 10:20,144,0.4,0.37
07/03/2024 10:29,145,0.24,0.36
07/03/2024 10:35,144,0.4,0.42
07/03/2024 10:42,145,0.21,0.35
07/03/2024 10:49,144,0.02,0.37
07/03/2024 10:57,145,0.94,0.38
07/03/2024 11:04,145,0.89,0.44
07/03/2024 11:13,144,0.48,0.4
07/03/2024 11:21,145,0.1,0.41
07/03/2024 11:27,143,1.0,0.38
07/03/2024 11:32,144,0.11,0.41
07/03/2024 11:38,145,0.79,0.39
07/03/2024 11:43,143,0.2,0.37
07/03/2024 11:50,144,0.87,0.42
07/03/2024 11:58,145,0.24,0.43
07/03/2024 12:06,144,0.39,0.38
07/03/2024 12:11,144,0.63,0.44
07/03/2024 12:19,143,0.03,0.42
07/03/2024 12:27,145,0.27,0.42
07/03/2024 12:32,145,0.7,0.37
07/03/2024 12:40,144,0.92,0.42
07/03/2024 12:49,145,0.32,0.37
07/03/2024 12:56,145,0.29,0.36
07/03/2024 13:04,145,0.86,0.44
07/03/2024 13:09,143,0.67,0.39
07/03/2024 13:18,144,0.26,0.37
07/03/2024 13:26,144,0.11,0.37
07/03/2024 13:35,144,0.76,0.41
07/03/2024 13:40,143,0.55,0.42
07/03/2024 13:48,144,1.0,0.44
07/03/2024 13:55,143,0.15,0.45
07/03/2024 14:01,144,0.66,0.4
07/03/2024 14:08,145,0.28,0.42
07/03/2024 14:15,143,0.86,0.4
07/03/2024 14:23,143,0.01,0.41
07/03/2024 14:29,143,0.5,0.41
07/03/2024 14:35,145,0.97,0.38
07/03/2024 14:41,144,0.39,0.4
07/03/2024 14:47,145,0.9,0.44
07/03/2024 14:53,145,0.53,0.41
07/03/2024 15:00,145,0.84,0.37
07/03/2024 15:06,143,0.7,0.4
07/03/2024 15:12,144,0.13,0.44
07/03/2024 15:21,145,0.55,0.41
07/03/2024 15:26,144,0.16,0.44
07/03/2024 15:35,143,0.75,0.38
07/03/2024 15:40,144,0.75,0.36
07/03/2024 15:45,144,0.34,0.41
07/03/2024 15:53,144,0.21,0.38
07/03/2024 15:59,143,0.9,0.43
07/03/2024 16:05,145,0.95,0.43
07/03/2024 16:13,144,0.51,0.36
07/03/2024 16:21,143,0.72,0.43
07/03/2024 16:30,143,0.62,0.38
07/03/2024 16:36,143,0.63,0.41
07/03/2024 16:44,144,0.65,0.42
07/03/2024 16:53,145,0.28,0.4
07/03/2024 17:01,145,0.18,0.42
07/03/2024 17:06,145,0.92,0.41
07/03/2024 17:15,144,0.38,0.41
07/03/2024 17:23,145,0.51,0.4
07/03/2024 17:29,145,0.73,0.38
07/03/2024 17:35,144,0.49,0.43
07/03/2024 17:44,144,0.6,0.41
07/03/2024 17:51,145,0.73,0.38
07/03/2024 18:00,144,0.31,0.38
07/03/2024 18:09,144,0.93,0.35
07/03/2024 18:18,144,0.88,0.43
07/03/2024 18:26,144,0.96,0.39
07/03/2024 18:31,144,0.42,0.37
07/03/2024 18:40,143,0.43,0.36
07/03/2024 18:46,144,0.42,0.39
07/03/2024 18:52,145,0.23,0.41
07/03/2024 18:57,144,0.74,0.45
07/03/2024 19:05,144,0.61,0.36
07/03/2024 19:13,145,0.47,0.39
07/03/2024 19:18,145,0.6,0.43
07/03/2024 19:25,144,0.77,0.4
07/03/2024 19:30,143,0.68,0.43
07/03/2024 19:38,145,0.67,0.35
07/03/2024 19:46,143,0.41,0.4
07/03/2024 19:55,145,0.02,0.42
07/03/2024 20:03,145,0.46,0.43
07/03/2024 20:11,143,0.64,0.41
07/03/2024 20:17,144,0.03,0.43
07/03/2024 20:25,143,0.05,0.41
07/03/2024 20:31,145,0.54,0.37
07/03/2024 20:38,145,0.13,0.43
07/03/2024 20:44,144,0.55,0.41
07/03/2024 20:50,145,0.11,0.39
07/03/2024 20:56,145,0.41,0.41
07/03/2024 21:05,145,0.72,0.4
07/03/2024 21:10,145,0.2,0.39
07/03/2024 21:17,143,0.0,0.44
07/03/2024 21:26,143,0.42,0.36
07/03/2024 21:33,144,0.18,0.38
07/03/2024 21:42,145,0.94,0.44
07/03/2024 21:47,145,0.47,0.43
07/03/2024 21:53,144,0.18,0.4
07/03/2024 22:02,143,0.5,0.43
07/03/2024 22:08,145,0.69,0.38
07/03/2024 22:16,144,0.29,0.39
07/03/2024 22:22,144,0.78,0.45
07/03/2024 22:27,144,0.73,0.43
07/03/2024 22:36,144,0.07,0.4
07/03/2024 22:44,143,0.35,0.45
07/03/2024 22:51,145,0.66,0.39
07/03/2024 23:00,144,0.9,0.41
07/03/2024 23:09,144,0.64,0.38
07/03/2024 23:16,144,0.99,0.44
07/03/2024 23:21,145,0.89,0.42
07/03/2024 23:26,144,0.21,0.44
07/03/2024 23:31,143,0.11,0.38
07/03/2024 23:36,145,0.68,0.37
07/03/2024 23:45,143,0.59,0.36
07/03/2024 23:50,143,0.64,0.44
07/03/2024 23:55,143,0.06,0.35
07/04/2024 00:02,145,0.53,0.43
07/04/2024 00:11,145,0.03,0.44
07/04/2024 00:19,143,0.04,0.43
07/04/2024 00:24,144,0.6,0.38
07/04/2024 00:29,143,0.01,0.42
07/04/2024 00:35,145,0.49,0.43
07/04/2024 00:42,145,0.87,0.41
07/04/2024 00:49,143,0.38,0.39
07/04/2024 00:58,145,0.24,0.37
07/04/2024 01:05,145,0.12,0.38
07/04/2024 01:11,145,0.96,0.37
07/04/2024 01:20,145,0.41,0.36
07/04/2024 01:25,143,0.12,0.4
07/04/2024 01:32,143,0.45,0.43
07/04/2024 01:38,144,0.3,0.39
07/04/2024 01:47,143,0.49,0.37
07/04/2024 01:55,144,0.35,0.44
07/04/2024 02:02,143,0.44,0.43
07/04/2024 02:09,144,0.3,0.44
07/04/2024 02:17,144,0.04,0.39
07/04/2024 02:26,144,0.36,0.4
07/04/2024 02:34,143,0.82,0.4
07/04/2024 02:43,144,0.06,0.38
07/04/2024 02:48,144,0.7,0.42
07/04/2024 02:57,143,0.97,0.45
07/04/2024 03:04,143,0.12,0.4
07/04/2024 03:12,145,0.37,0.37
07/04/2024 03:18,143,0.05,0.38
07/04/2024 03:27,144,0.03,0.38
07/04/2024 03:34,145,0.24,0.37
07/04/2024 03:39,144,0.42,0.38
07/04/2024 03:44,143,0.92,0.37
07/04/2024 03:50,144,0.01,0.36
07/04/2024 03:55,145,0.45,0.42
07/04/2024 04:01,143,0.51,0.36
07/04/2024 04:10,144,0.29,0.38
07/04/2024 04:15,145,0.01,0.36
07/04/2024 04:21,143,0.6,0.37
07/04/2024 04:27,143,0.51,0.41
07/04/2024 04:32,145,0.46,0.44
07/04/2024 04:40,145,0.98,0.36
07/04/2024 04:46,145,0.18,0.36
07/04/2024 04:51,144,0.53,0.38
07/04/2024 04:59,143,0.29,0.37
07/04/2024 05:06,144,0.24,0.43
07/04/2024 05:15,145,0.76,0.38
07/04/2024 05:23,145,0.52,0.37
